Year,Indicator,ISO,Country,Breakdown,Unit of measure,Value
2024,OECD Digital Services Trade Restrictiveness Index,CAN,Canada,Other barriers affecting trade in digitally enabled services,Index: 1 = maximum restriction,0
2024,OECD Digital Services Trade Restrictiveness Index,CAN,Canada,Intellectual property rights,Index: 1 = maximum restriction,0
2024,OECD Digital Services Trade Restrictiveness Index,CAN,Canada,Payment system,Index: 1 = maximum restriction,0
2024,OECD Digital Services Trade Restrictiveness Index,CAN,Canada,Electronic transactions,Index: 1 = maximum restriction,0
2024,OECD Digital Services Trade Restrictiveness Index,CAN,Canada,Infrastructure and connectivity,Index: 1 = maximum restriction,0
2024,OECD Digital Services Trade Restrictiveness Index,AUS,Australia,Other barriers affecting trade in digitally enabled services,Index: 1 = maximum restriction,0
2024,OECD Digital Services Trade Restrictiveness Index,AUS,Australia,Intellectual property rights,Index: 1 = maximum restriction,0
2024,OECD Digital Services Trade Restrictiveness Index,AUS,Australia,Payment system,Index: 1 = maximum restriction,0
2024,OECD Digital Services Trade Restrictiveness Index,AUS,Australia,Electronic transactions,Index: 1 = maximum restriction,0.02
2024,OECD Digital Services Trade Restrictiveness Index,AUS,Australia,Infrastructure and connectivity,Index: 1 = maximum restriction,0
2024,OECD Digital Services Trade Restrictiveness Index,GBR,United Kingdom,Other barriers affecting trade in digitally enabled services,Index: 1 = maximum restriction,0
2024,OECD Digital Services Trade Restrictiveness Index,GBR,United Kingdom,Intellectual property rights,Index: 1 = maximum restriction,0
2024,OECD Digital Services Trade Restrictiveness Index,GBR,United Kingdom,Payment system,Index: 1 = maximum restriction,0
2024,OECD Digital Services Trade Restrictiveness Index,GBR,United Kingdom,Electronic transactions,Index: 1 = maximum restriction,0.02
2024,OECD Digital Services Trade Restrictiveness Index,GBR,United Kingdom,Infrastructure and connectivity,Index: 1 = maximum restriction,0
2024,OECD Digital Services Trade Restrictiveness Index,JPN,Japan,Other barriers affecting trade in digitally enabled services,Index: 1 = maximum restriction,0
2024,OECD Digital Services Trade Restrictiveness Index,JPN,Japan,Intellectual property rights,Index: 1 = maximum restriction,0
