Country Name,Time,Research and development expenditure (% of GDP),GDP per capita (current US$)
Japan,2005,3.130919933,37812.89502
Japan,2006,3.227659941,35991.546
Japan,2007,3.292570114,35779.02454
Japan,2008,3.292239904,39876.30397
Japan,2009,3.195899963,41308.99684
Japan,2010,3.104949951,44968.15623
Japan,2011,3.205369949,48760.07895
Japan,2012,3.173710108,49145.28043
Japan,2013,3.27895999,40898.6479
Japan,2014,3.367880106,38475.39525
Japan,2015,3.24071002,34960.63938
Japan,2016,3.106659889,39375.47316
Japan,2017,3.166359901,38834.05293
Japan,2018,3.219199896,39751.1331
Japan,2019,3.218240023,40415.95676
Japan,2020,3.264580011,40028.73417
Japan,2021,3.276770115,40094.55998
Japan,2022,3.405369997,34065.6439
Japan,2023,..,33836.17563
Japan,2024,..,32475.8925
,,,
,,,
,,,
Data from database: World Development Indicators,,,
Last Updated: 07/01/2025,,,
